ID,min_distances,ref_min_distances,stenosis_min_squared_fd,stenosis_min_squared_sd,stenosis_ratio_min,stenosis_ratio_min_squared,stenosis_ratio_min_squared_fd,stenosis_ratio_min_squared_sd,avg_radius,ref_avg_radius,stenosis_ratio_avg
0.0,0.2978674201721324,3.0159635274111136,0.0,0.0,0.9012363984295857,0.8122270458543309,-3.584010544099847e-05,-0.13430943701460063,1.1061628527640488,3.366265224269311,0.6713975937519436
0.5,0.2978674201721324,3.01535644578411,0.24712499768337837,0.24712499768337837,0.9012165143565057,0.8121912057488899,-0.13434527712004163,-0.0922723041201875,1.1061628527640488,3.3920043192782288,0.6738910836648271
1.0,0.7921174155388891,3.0147106604856178,0.3579994709151378,0.3579994709151378,0.73724927372921,0.5435364916142477,-0.184580448345816,0.03766687103032744,2.333643213318199,3.418195615355961,0.31728798585004914
1.5,1.013866362002408,3.031944345484426,0.13075364022555097,0.13075364022555097,0.6656052201247057,0.44303030905725793,-0.05901153505938675,0.07841908631868556,3.109962052787608,3.4319701433572862,0.09382601745325136
2.0,1.053624695989991,3.030390601933917,0.06296264281224162,0.06296264281224162,0.6523138979781699,0.42551342149547416,-0.02774227570844487,0.021257940554449475,3.151281702534253,3.4529900844677166,0.08737597692232368
2.5,1.1397916476268912,3.019569444546189,0.041875835458820565,0.041875835458820565,0.6225317322356895,0.3875457576403682,-0.0164956539504878,0.02592086528162177,3.0419525685266025,3.465079017369852,0.1221116305637443
3.0,1.1373763669076322,3.045313636231864,-0.04835363951767968,-0.04835363951767968,0.6265158526282464,0.39252211359449857,0.02409945485479867,-0.007339294724612477,2.684745144094809,3.527201013078423,0.2388454374615715
3.5,1.0430843685915319,3.0688843517199103,0.08635475407013082,0.08635475407013082,0.6601095873792211,0.43574466734996553,-0.031174243399712753,-0.04433650051065663,2.6479370308860073,3.5552881639996663,0.25521169909695796
4.0,1.3100858750478939,3.079709837415056,0.1703980226585632,0.1703980226585632,0.5746073675085215,0.33017362679507306,-0.06457354616651459,-0.012988890428224147,2.963113008704034,3.576614289229505,0.1715312949380502
4.5,1.3838804139086582,3.1008722684855,0.18836162139187873,0.18836162139187873,0.5537125382515158,0.30659757501693635,-0.057152024256161046,-0.018849108491319662,2.5192518673520516,3.608966900892615,0.30194653025801965
