61.13,98.07,39.38
61.24,98.03,39.24
61.21,97.92,39.33
61.18,97.98,39.54
61.15,98.18,39.55
61.28,98.17,39.79
61.22,98.29,39.36
61.24,98.36,39.64
61.09,99.12,38.83
61.22,99.07,38.61
61.22,98.88,38.71
61.18,98.92,38.93
61.12,99.14,39.03
61.28,99.02,39.18
61.06,99.40,38.77
61.22,99.38,38.56
61.08,99.37,39.00
61.25,99.27,39.19
61.06,99.71,38.73
61.24,99.71,38.55
61.07,99.69,38.96
61.26,99.56,39.17
61.10,99.95,38.71
61.31,100.06,38.60
61.06,99.97,38.90
61.27,99.95,39.15
61.13,100.17,38.84
61.12,100.14,39.00
61.35,97.78,39.46
61.41,97.85,39.23
61.64,97.66,39.38
61.56,97.64,39.69
61.34,97.85,39.79
61.51,97.70,39.94
61.43,97.84,40.03
61.59,97.76,40.11
61.48,98.09,39.11
61.39,98.01,40.00
61.56,97.96,40.15
61.37,98.45,39.08
61.51,98.42,38.78
61.70,98.25,38.89
61.28,98.51,39.35
61.34,98.56,39.57
61.49,98.49,39.83
61.57,98.24,40.06
61.34,98.65,38.80
61.48,98.74,38.57
61.55,98.50,38.64
61.31,98.77,39.12
61.36,98.68,39.37
61.48,98.76,39.58
61.56,98.70,39.73
61.50,99.04,38.47
61.55,98.94,39.44
61.45,99.15,39.32
61.49,99.39,38.44
61.49,99.37,39.30
61.50,99.74,38.45
61.54,99.65,39.28
61.59,100.02,38.46
61.62,99.90,39.33
61.31,100.37,38.77
61.59,100.36,38.55
61.27,100.30,39.06
61.52,100.20,39.37
61.44,100.49,39.29
61.64,100.45,39.57
61.45,100.56,38.71
61.40,100.58,38.98
61.55,100.72,38.81
61.49,100.67,39.24
61.55,100.62,39.44
61.63,100.79,39.09
61.74,97.81,39.17
61.98,97.62,39.36
61.89,97.53,39.66
61.78,97.62,40.00
61.79,97.82,40.23
61.87,98.02,39.03
61.80,98.08,40.25
61.71,98.37,38.70
61.79,98.50,38.60
62.00,98.32,38.77
62.01,98.15,38.93
61.95,98.33,40.17
61.78,98.49,40.00
61.82,98.74,38.49
61.67,98.82,39.67
61.86,98.72,39.85
61.83,99.08,38.39
61.83,99.09,39.54
61.68,99.20,39.41
61.87,98.94,39.67
61.74,99.46,38.37
61.75,99.44,39.38
61.76,99.80,38.37
