ID,min_distances,avg_radius
0.0,1.2152777460317534,4.540903475178713
0.5,2.511593119914138,5.283721868936029
1.0,4.131476733566314,6.161458915037153
1.5,6.115186015159311,7.551125682508626
2.0,6.106144446375297,7.5266880251070765
2.5,6.2216878738811685,7.981452018180466
3.0,6.369497625401868,8.04439006737858
3.5,6.540558080164118,7.614443958529077
4.0,6.730037147000005,7.336642031586516
4.5,6.861042194885556,7.519217694239151
5.0,7.209341162686092,7.714022087396154
5.5,7.2679364334039125,7.600874482812427
6.0,7.231389907894608,7.826957626753045
6.5,7.42849244463505,7.908578891363791
7.0,7.311730301371893,7.602798665949317
7.5,7.600848636829969,8.257651325437836
8.0,7.645148788610979,8.408663887139735
8.5,7.5472776548898795,7.897597672143956
9.0,7.476449692200168,7.973523850673438
9.5,7.730860236739514,8.086332530011596
10.0,7.794985567658228,8.114322186998967
10.5,7.895853342103056,8.124584327048476
11.0,7.81039051520473,8.219250786808024
11.5,7.615773105863905,8.112109187467267
12.0,7.641819155148856,8.170233042008816
12.5,7.587812596526086,8.303625016252733
13.0,7.240096684437309,8.08221283188279
13.5,7.461105816164247,7.9669427276908245
14.0,7.498813239439952,8.012427808456389
14.5,7.7008700807116535,8.07390303904617
15.0,7.795986146729616,8.2557093358412
15.5,7.851407517127099,8.24802884726615
16.0,7.7715249468813985,8.23121316277029
16.5,7.888003549694951,8.14166069789302
17.0,7.7084369362406955,8.062709896457584
17.5,7.614775111584053,8.018167573162193
18.0,7.554614483876721,7.9287000246048525
18.5,7.425920818322799,7.783779524541722
19.0,7.196742318577203,7.69583063132703
19.5,7.323994811576535,7.616666670625663
20.0,7.247095970111071,7.549498114252009
20.5,7.150846103783799,7.475167122986312
21.0,7.193622175232719,7.675570246553984
21.5,7.163197610006305,7.866600106984077
22.0,6.944328621256341,7.924310143838949
22.5,6.709470918038168,7.732032733827215
23.0,6.9423411036911675,8.153672491963162
23.5,6.931962204167016,7.841494835437286
24.0,6.888526692987409,7.576702869574878
24.5,7.050163118680304,7.561985294273058
25.0,7.233774948116662,7.663299785357201
25.5,7.264433907745319,7.474154966050045
26.0,7.399709453755594,7.590680393682338
26.5,7.192058119898638,7.797776975457127
27.0,7.121158613596525,7.717219093443716
27.5,6.952733275482388,7.580654494932866
28.0,6.953337328218732,7.543088570792899
28.5,6.944609420262596,7.636727468815487
29.0,6.948158029290931,7.722150020565248
29.5,7.003377756482947,7.893814634127699
30.0,7.0758886367720635,7.916175028615537
30.5,7.038053708234981,7.896412712165609
31.0,6.936122836282538,7.877784084514326
31.5,7.000635685421726,7.723157715814604
32.0,6.7583207973578725,7.861351710699331
32.5,6.98321559168839,7.833544073318325
33.0,7.1583587504399375,7.877133532215802
33.5,6.947308831482875,7.651135019898
34.0,6.911504901249802,7.611138143816868
34.5,6.919660396291128,7.563075260975798
35.0,6.906446264179573,7.419831089216968
35.5,6.728343035250218,7.392690874089854
36.0,6.622363626379926,7.287639908044614
36.5,6.523664614309968,7.051515310607478
37.0,6.4798996905816235,6.946148404532259
37.5,6.501507517491625,6.867343328484503
38.0,6.397421355515049,6.731940992522605
38.5,6.186186224161052,6.518820964482576
39.0,5.999116601633939,6.383944720136598
39.5,5.9451072320017975,6.25613942711158
40.0,5.915893846241665,6.2184440246168675
40.5,5.961006626401279,6.258167891439001
41.0,5.867784931300732,6.510059815244363
41.5,5.888514243847925,6.535071937384443
42.0,5.827658191761074,6.630753590080288
42.5,5.840282527412525,6.499642100635985
43.0,5.57948026253342,5.991153261798215
43.5,5.51613995471471,5.7247292675636094
44.0,5.437949981380854,5.673682742566198
44.5,5.372029411684191,5.751184728305385
45.0,5.413954192639612,5.671660820157801
45.5,5.41769323605537,5.860948525416163
46.0,5.431104859970942,5.821363748866234
46.5,5.3089829534478605,5.712663733561281
47.0,5.144793484679431,5.53543802743768
47.5,4.198201996093087,5.035334443392507
48.0,3.73549193547517,4.451833220665437
48.5,0.753325958665948,3.937953125044586
49.0,0.5626721958653998,2.150717264495999
49.5,0.3764306044943875,1.424085053378274
