58.02,98.72,15.38
58.15,99.66,16.77
58.13,98.34,31.88
58.38,104.05,19.86
58.31,104.48,20.07
58.27,104.69,20.15
58.34,106.48,20.72
58.36,104.17,19.93
58.40,103.93,19.79
58.34,104.31,20.00
58.41,103.80,19.71
58.43,103.25,19.45
58.41,103.67,19.63
58.43,103.39,19.50
58.43,102.24,18.91
58.43,101.79,18.72
58.43,102.08,18.83
58.43,102.00,18.79
58.44,102.48,19.08
58.43,102.99,19.35
58.42,103.53,19.57
58.44,101.58,18.63
58.44,101.65,18.66
58.44,101.51,18.59
58.44,101.29,18.43
58.43,101.72,18.69
58.44,101.06,18.26
58.43,101.93,18.76
58.43,102.16,18.87
58.43,102.34,18.97
58.44,102.65,19.19
58.44,102.76,19.25
58.28,100.22,17.43
58.34,100.36,17.59
58.38,100.51,17.75
58.44,101.19,18.36
58.44,101.44,18.55
58.43,101.86,18.74
58.43,103.11,19.40
58.44,102.87,19.31
58.41,106.79,20.81
58.48,107.11,20.90
58.53,107.42,21.01
58.61,107.71,21.11
58.70,107.99,21.20
58.43,100.93,18.15
58.40,100.65,17.90
58.26,98.42,31.84
58.79,108.25,21.30
58.76,98.77,31.62
58.89,108.49,21.39
58.93,98.93,31.56
58.61,98.65,31.69
58.68,98.71,31.66
58.82,98.83,31.60
59.05,99.05,31.50
59.12,99.11,31.46
58.99,98.99,31.53
58.87,98.88,31.58
59.19,99.18,31.41
58.99,108.70,21.49
59.09,108.92,21.59
59.45,99.46,31.23
59.38,99.38,31.27
59.52,99.54,31.19
59.31,99.31,31.31
59.44,109.60,22.03
59.18,109.11,21.69
59.68,109.94,22.27
59.41,109.53,21.97
59.27,109.28,21.79
59.53,109.75,22.15
59.35,109.43,21.88
59.57,109.81,22.19
59.47,109.64,22.07
59.62,109.87,22.23
59.75,110.02,22.31
59.82,99.86,31.11
59.75,99.78,31.12
59.89,99.94,31.10
59.67,99.70,31.14
60.17,100.27,31.14
60.14,100.22,31.13
60.20,100.31,31.13
59.96,110.20,22.42
60.26,100.40,31.12
59.87,110.13,22.37
60.50,100.76,31.04
60.02,100.09,31.12
60.29,100.45,31.10
60.23,100.35,31.13
60.07,100.14,31.13
59.96,100.02,31.11
60.11,110.31,22.52
60.04,110.26,22.47
60.29,110.41,22.66
60.17,110.35,22.57
60.23,110.39,22.62
60.43,100.65,31.06
60.57,100.86,31.03
60.56,110.49,22.92
60.35,110.44,22.71
60.46,110.48,22.81
60.41,110.46,22.76
60.78,110.51,23.18
60.69,110.50,23.08
60.36,100.55,31.08
60.76,101.17,31.03
60.70,101.07,31.02
60.64,100.96,31.03
60.62,110.49,22.98
60.91,101.49,31.01
60.86,101.38,31.02
60.81,101.27,31.03
61.09,101.85,30.95
61.17,110.61,23.59
61.02,101.72,30.98
61.16,101.99,30.91
61.24,102.13,30.86
60.97,101.60,31.00
61.34,102.28,30.80
61.23,110.61,23.64
61.10,110.59,23.54
61.03,110.57,23.48
61.51,110.64,23.80
60.94,110.55,23.38
61.39,110.63,23.74
61.57,102.68,30.67
61.33,110.62,23.71
61.66,110.65,23.86
61.85,110.68,23.96
61.58,110.64,23.83
61.45,110.63,23.77
61.91,110.69,23.99
61.28,110.62,23.68
61.52,102.59,30.69
61.40,102.39,30.75
61.70,102.85,30.64
61.91,103.11,30.63
61.98,110.71,24.02
61.79,110.67,23.93
62.05,110.73,24.05
61.73,110.66,23.89
61.64,102.77,30.66
62.07,103.30,30.59
62.12,103.36,30.57
61.82,103.00,30.63
61.76,102.93,30.63
61.96,103.17,30.62
62.20,110.76,24.10
62.01,103.23,30.61
62.24,103.48,30.51
62.38,110.79,24.17
62.18,103.42,30.55
62.31,103.55,30.47
62.12,110.75,24.07
62.29,110.78,24.13
