ID,min_distances,avg_radius
0.0,0.43703546766824236,2.3298284674817076
0.5,3.6539567594595375,4.450465096315674
1.0,4.407141931002447,4.774899241868223
1.5,4.471252620910606,5.26408894896238
2.0,4.398749822392713,5.173254551799336
2.5,4.912769076600293,5.613163487277808
3.0,5.366572462941317,5.877764958541094
3.5,5.647096599138351,5.896676523218223
4.0,5.446420843085853,5.8534596062834465
4.5,5.34008426899801,5.793845152710235
5.0,5.382982444704799,5.881273679468595
5.5,5.4665802838703454,5.947097374933481
6.0,5.632557145737619,6.046300827703359
6.5,5.771984060962057,6.2009696104269905
7.0,5.929907250539418,6.274036564084474
7.5,6.165557557918022,6.367503708417923
8.0,6.290866395020633,6.518866832608158
8.5,6.382264488408476,6.6939383123767335
9.0,6.479305518340688,6.81095150526073
9.5,6.508156420984372,6.981011982386989
10.0,6.5158959476038305,7.099497558586757
10.5,6.429696726907109,7.11427560500727
11.0,6.431337341486613,7.1879873308022395
11.5,6.682911042352734,7.212687499414828
12.0,6.9679049936117865,7.313558605686633
12.5,7.07108195398695,7.3205544803752485
13.0,6.776141970177425,7.064288639075429
13.5,6.675874474553883,7.008787955453428
14.0,6.772754240336791,7.115402932171394
14.5,6.498569073265288,7.000894186539358
15.0,6.418044873635579,6.816307333215478
15.5,6.441125678016232,7.015532176355378
16.0,6.406403046952319,7.012245701550029
16.5,6.340228702499618,6.86921457110469
17.0,6.400007812495224,6.923540325444915
17.5,6.699156663342041,7.0279068376026075
18.0,6.802947890436908,7.144418393436293
18.5,6.849182432962345,7.149444157130487
19.0,6.7938280814280185,7.2188185539482514
19.5,6.771484327678829,7.158586279329266
20.0,6.740719546161221,7.056065222283989
20.5,6.751214705517816,7.0446459697557025
21.0,6.541819318813381,6.956836333849982
21.5,6.289173236602726,6.864937824604203
22.0,6.02755340084184,6.9682920671660105
22.5,5.965869592942837,7.121159575028989
23.0,5.876435994716523,6.38632048950847
23.5,5.782188167121502,6.087003061842951
24.0,5.242985790558654,6.055993501979211
24.5,5.2063134750032045,5.917933160283145
25.0,5.08375845216903,5.852015163659894
25.5,5.248256853470501,5.696439456217451
26.0,5.264275828639689,5.8859289396614765
26.5,5.333544787474842,5.62253045765637
27.0,5.216751862989079,5.482111190091656
27.5,4.987434210092402,5.287298145467254
28.0,4.976193324218828,5.236462665737986
28.5,4.769108931446204,5.112245616990146
29.0,4.74394350725217,5.059545447776679
29.5,4.329919167836745,4.933166865471432
30.0,4.131028927519151,4.737875948122825
30.5,4.007056276120906,4.681868090247887
31.0,4.294054028537606,4.843004673931427
31.5,4.3907402564943485,4.780248675855442
32.0,4.356615658972,4.8231636483965445
32.5,4.52195754071177,4.962949836068445
33.0,4.721959339087962,5.071892256746756
33.5,4.855275481370752,5.192364312457695
34.0,4.900051020142545,5.259131854033474
34.5,5.129600374298178,5.412072528190488
35.0,5.1353870350734026,5.400190087636119
35.5,5.021264780909285,5.366648518949767
36.0,4.942236335911101,5.139233793040104
36.5,4.913959706794511,5.097343502392348
37.0,4.755312818311741,5.043009075596185
37.5,4.841683591479309,5.200045522224739
38.0,4.814000415454902,5.297403003976561
38.5,4.76551151504223,5.198776402265571
39.0,4.629416809923254,5.034083632106847
39.5,4.513856444327848,4.952464786392618
40.0,4.343742625893033,4.872156196328991
40.5,3.0061769741650313,4.39140457510916
41.0,0.42296571965115853,2.0464145501268804
41.5,0.41097445176069797,1.1142351867249591
